Satellite,Time_Minutes,Elevation,QBER,SKR
ISRO-QKD-1,0,-46.85577951895729,1.0,0.0
ISRO-QKD-1,5,-42.78166470514347,1.0,0.0
ISRO-QKD-1,10,-38.5805404589813,1.0,0.0
ISRO-QKD-1,15,-34.71503453665506,1.0,0.0
ISRO-QKD-1,20,-31.761053422727016,1.0,0.0
ISRO-QKD-1,25,-30.778505745728392,1.0,0.0
ISRO-QKD-1,30,-32.00502531765691,1.0,0.0
ISRO-QKD-1,35,-34.75101072804481,1.0,0.0
ISRO-QKD-1,40,-38.34179321038923,1.0,0.0
ISRO-QKD-1,45,-42.368168846111644,1.0,0.0
ISRO-QKD-1,50,-46.601551729317464,1.0,0.0
ISRO-QKD-1,55,-50.896424769324234,1.0,0.0
ISRO-QKD-1,60,-55.12197102687865,1.0,0.0
ISRO-QKD-1,65,-59.10433813348596,1.0,0.0
ISRO-QKD-1,70,-62.56063228199806,1.0,0.0
ISRO-QKD-1,75,-65.0280082860309,1.0,0.0
ISRO-QKD-1,80,-65.86788155306573,1.0,0.0
ISRO-QKD-1,85,-64.50596453691867,1.0,0.0
ISRO-QKD-1,90,-60.804986712649885,1.0,0.0
ISRO-QKD-1,95,-55.10398970001682,1.0,0.0
ISRO-QKD-1,100,-47.99156227993145,1.0,0.0
ISRO-QKD-1,105,-40.24107781871942,1.0,0.0
ISRO-QKD-1,110,-32.8044057096212,1.0,0.0
ISRO-QKD-1,115,-26.20587757817577,1.0,0.0
ISRO-QKD-1,120,-21.312125494951427,1.0,0.0
ISRO-QKD-1,125,-21.43944651896408,1.0,0.0
ISRO-QKD-1,130,-25.34832476603981,1.0,0.0
ISRO-QKD-1,135,-30.80194225869002,1.0,0.0
ISRO-QKD-1,140,-36.82323485339249,1.0,0.0
ISRO-QKD-1,145,-43.054424390550906,1.0,0.0
ISRO-QKD-1,150,-49.365418876715594,1.0,0.0
ISRO-QKD-1,155,-55.70091509958417,1.0,0.0
ISRO-QKD-1,160,-62.00290429338905,1.0,0.0
ISRO-QKD-1,165,-68.1208250733339,1.0,0.0
ISRO-QKD-1,170,-73.58485191360376,1.0,0.0
ISRO-QKD-1,175,-76.98906364143835,1.0,0.0
ISRO-QKD-1,180,-75.94203252964199,1.0,0.0
ISRO-QKD-1,185,-70.46828716621553,1.0,0.0
ISRO-QKD-1,190,-62.5246179505485,1.0,0.0
ISRO-QKD-1,195,-53.22915072821705,1.0,0.0
ISRO-QKD-1,200,-43.25224509873641,1.0,0.0
ISRO-QKD-1,205,-33.49499868165586,1.0,0.0
ISRO-QKD-1,210,-25.819050044625072,1.0,0.0
ISRO-QKD-1,215,-18.098346989841435,1.0,0.0
ISRO-QKD-1,220,-12.973000169931034,1.0,0.0
ISRO-QKD-1,225,-18.28494393422158,1.0,0.0
ISRO-QKD-1,230,-25.4668449722154,1.0,0.0
ISRO-QKD-1,235,-32.938733888052695,1.0,0.0
