Satellite,Time_Minutes,Elevation,QBER,SKR
ISRO-QKD-1,0,-46.25409033697097,1.0,0.0
ISRO-QKD-1,5,-41.89498803401453,1.0,0.0
ISRO-QKD-1,10,-37.58943203033028,1.0,0.0
ISRO-QKD-1,15,-33.80132049793102,1.0,0.0
ISRO-QKD-1,20,-31.080599070738124,1.0,0.0
ISRO-QKD-1,25,-30.53211249498842,1.0,0.0
ISRO-QKD-1,30,-32.25173017541993,1.0,0.0
ISRO-QKD-1,35,-35.41533512709056,1.0,0.0
ISRO-QKD-1,40,-39.32498603792739,1.0,0.0
ISRO-QKD-1,45,-43.58620199544765,1.0,0.0
ISRO-QKD-1,50,-47.986154761390075,1.0,0.0
ISRO-QKD-1,55,-52.38754820227073,1.0,0.0
ISRO-QKD-1,60,-56.65782806870808,1.0,0.0
ISRO-QKD-1,65,-60.608012487430614,1.0,0.0
ISRO-QKD-1,70,-63.92197324500556,1.0,0.0
ISRO-QKD-1,75,-66.09054703003717,1.0,0.0
ISRO-QKD-1,80,-66.46104070353971,1.0,0.0
ISRO-QKD-1,85,-64.54854058768552,1.0,0.0
ISRO-QKD-1,90,-60.36350282364353,1.0,0.0
ISRO-QKD-1,95,-54.32213054260145,1.0,0.0
ISRO-QKD-1,100,-47.0178847798453,1.0,0.0
ISRO-QKD-1,105,-39.23167589261175,1.0,0.0
ISRO-QKD-1,110,-31.967795502803774,1.0,0.0
ISRO-QKD-1,115,-25.674266129769265,1.0,0.0
ISRO-QKD-1,120,-21.214101523275204,1.0,0.0
ISRO-QKD-1,125,-22.010994616607928,1.0,0.0
ISRO-QKD-1,130,-26.34978010372446,1.0,0.0
ISRO-QKD-1,135,-32.039061228237365,1.0,0.0
ISRO-QKD-1,140,-38.19607057685768,1.0,0.0
ISRO-QKD-1,145,-44.50888749704966,1.0,0.0
ISRO-QKD-1,150,-50.86775016570194,1.0,0.0
ISRO-QKD-1,155,-57.224818419790374,1.0,0.0
ISRO-QKD-1,160,-63.51862043920871,1.0,0.0
ISRO-QKD-1,165,-69.57312238200772,1.0,0.0
ISRO-QKD-1,170,-74.8222739531351,1.0,0.0
ISRO-QKD-1,175,-77.60614071177055,1.0,0.0
ISRO-QKD-1,180,-75.6355671640974,1.0,0.0
