Satellite,Time_Minutes,Elevation,QBER,SKR
ISRO-QKD-1,0,-53.60730474024344,1.0,0.0
ISRO-QKD-1,5,-51.12472380793435,1.0,0.0
ISRO-QKD-1,10,-46.90473462924836,1.0,0.0
ISRO-QKD-1,15,-41.54508415612476,1.0,0.0
ISRO-QKD-1,20,-35.87020375400374,1.0,0.0
ISRO-QKD-1,25,-30.941190543621858,1.0,0.0
ISRO-QKD-1,30,-27.864725065130713,1.0,0.0
ISRO-QKD-1,35,-27.083255464432813,1.0,0.0
ISRO-QKD-1,40,-28.271614377450693,1.0,0.0
ISRO-QKD-1,45,-30.86871673335083,1.0,0.0
ISRO-QKD-1,50,-34.41336181574341,1.0,0.0
ISRO-QKD-1,55,-38.59513222347064,1.0,0.0
ISRO-QKD-1,60,-43.209014767174956,1.0,0.0
ISRO-QKD-1,65,-48.09977692283969,1.0,0.0
ISRO-QKD-1,70,-53.10636530255555,1.0,0.0
ISRO-QKD-1,75,-57.98897045239946,1.0,0.0
ISRO-QKD-1,80,-62.30864680731739,1.0,0.0
ISRO-QKD-1,85,-65.25808454898818,1.0,0.0
ISRO-QKD-1,90,-65.6757544683789,1.0,0.0
ISRO-QKD-1,95,-62.75057399385505,1.0,0.0
ISRO-QKD-1,100,-56.79019934922624,1.0,0.0
ISRO-QKD-1,105,-48.807878818412206,1.0,0.0
ISRO-QKD-1,110,-39.849651116505584,1.0,0.0
ISRO-QKD-1,115,-30.672407886820185,1.0,0.0
ISRO-QKD-1,120,-21.807391182393605,1.0,0.0
ISRO-QKD-1,125,-15.727003747531949,1.0,0.0
ISRO-QKD-1,130,-15.387271611621927,1.0,0.0
ISRO-QKD-1,135,-19.029392843074614,1.0,0.0
ISRO-QKD-1,140,-24.41522304570384,1.0,0.0
ISRO-QKD-1,145,-30.536795425374812,1.0,0.0
ISRO-QKD-1,150,-37.012879004219236,1.0,0.0
ISRO-QKD-1,155,-43.70469969146402,1.0,0.0
ISRO-QKD-1,160,-50.56368368339546,1.0,0.0
ISRO-QKD-1,165,-57.56070113310225,1.0,0.0
ISRO-QKD-1,170,-64.61809216796071,1.0,0.0
ISRO-QKD-1,175,-71.43922474648983,1.0,0.0
ISRO-QKD-1,180,-76.86125524735348,1.0,0.0
ISRO-QKD-1,185,-77.49533076027183,1.0,0.0
ISRO-QKD-1,190,-71.7550095618057,1.0,0.0
ISRO-QKD-1,195,-62.68798126431415,1.0,0.0
ISRO-QKD-1,200,-52.13387198988223,1.0,0.0
ISRO-QKD-1,205,-40.94204202407342,1.0,0.0
ISRO-QKD-1,210,-29.725233334638727,1.0,0.0
ISRO-QKD-1,215,-18.353487306950946,1.0,0.0
ISRO-QKD-1,220,-3.2679401078534984,1.0,0.0
ISRO-QKD-1,225,-4.4378245548105895,1.0,0.0
ISRO-QKD-1,230,-11.877227336172966,1.0,0.0
ISRO-QKD-1,235,-19.81034530425772,1.0,0.0
ISRO-QKD-1,240,-27.6714408015329,1.0,0.0
ISRO-QKD-1,245,-35.42319990352381,1.0,0.0
ISRO-QKD-1,250,-43.120983059419444,1.0,0.0
ISRO-QKD-1,255,-50.842749102313284,1.0,0.0
ISRO-QKD-1,260,-58.674732027655836,1.0,0.0
ISRO-QKD-1,265,-66.70970467029193,1.0,0.0
ISRO-QKD-1,270,-75.0482034946129,1.0,0.0
ISRO-QKD-1,275,-83.79679914434567,1.0,0.0
ISRO-QKD-1,280,-86.88633847082548,1.0,0.0
ISRO-QKD-1,285,-76.9785534017472,1.0,0.0
ISRO-QKD-1,290,-66.36106186104209,1.0,0.0
ISRO-QKD-1,295,-55.113366592419816,1.0,0.0
ISRO-QKD-1,300,-43.517625650741444,1.0,0.0
ISRO-QKD-1,305,-32.08975890976972,1.0,0.0
ISRO-QKD-1,310,-21.48565664707418,1.0,0.0
ISRO-QKD-1,315,-6.497269807229164,1.0,0.0
ISRO-QKD-1,320,-3.9201592439428765,1.0,0.0
ISRO-QKD-1,325,-11.485143662752291,1.0,0.0
ISRO-QKD-1,330,-19.50931451469205,1.0,0.0
ISRO-QKD-1,335,-27.35407428687256,1.0,0.0
