Satellite,Time_Minutes,Elevation,QBER,SKR
ISRO-QKD-1,0,-47.22949182383735,1.0,0.0
ISRO-QKD-1,5,-44.37182554869341,1.0,0.0
ISRO-QKD-1,10,-41.032541896209345,1.0,0.0
ISRO-QKD-1,15,-37.5768045285685,1.0,0.0
ISRO-QKD-1,20,-34.584147461915684,1.0,0.0
ISRO-QKD-1,25,-32.93316391266176,1.0,0.0
ISRO-QKD-1,30,-33.03096126972786,1.0,0.0
ISRO-QKD-1,35,-34.578479677524555,1.0,0.0
ISRO-QKD-1,40,-37.097639750303394,1.0,0.0
ISRO-QKD-1,45,-40.222408255467855,1.0,0.0
ISRO-QKD-1,50,-43.71565658688009,1.0,0.0
ISRO-QKD-1,55,-47.41750472394236,1.0,0.0
ISRO-QKD-1,60,-51.19509655947463,1.0,0.0
ISRO-QKD-1,65,-54.8979089321792,1.0,0.0
ISRO-QKD-1,70,-58.308931636310106,1.0,0.0
ISRO-QKD-1,75,-61.08699633703906,1.0,0.0
ISRO-QKD-1,80,-62.72627432389989,1.0,0.0
ISRO-QKD-1,85,-62.6270604835608,1.0,0.0
ISRO-QKD-1,90,-60.36010441340041,1.0,0.0
ISRO-QKD-1,95,-55.93185673399587,1.0,0.0
ISRO-QKD-1,100,-49.77601463869998,1.0,0.0
ISRO-QKD-1,105,-42.61236243402759,1.0,0.0
ISRO-QKD-1,110,-35.297980452417875,1.0,0.0
ISRO-QKD-1,115,-28.46556687239869,1.0,0.0
ISRO-QKD-1,120,-23.09781187140334,1.0,0.0
ISRO-QKD-1,125,-21.741641078561134,1.0,0.0
ISRO-QKD-1,130,-24.243316533407718,1.0,0.0
ISRO-QKD-1,135,-28.73846607246864,1.0,0.0
ISRO-QKD-1,140,-34.11063789989355,1.0,0.0
ISRO-QKD-1,145,-39.87722428833758,1.0,0.0
ISRO-QKD-1,150,-45.83634367139203,1.0,0.0
ISRO-QKD-1,155,-51.89349183029064,1.0,0.0
ISRO-QKD-1,160,-57.97428809786865,1.0,0.0
ISRO-QKD-1,165,-63.94685300906964,1.0,0.0
ISRO-QKD-1,170,-69.47391879561629,1.0,0.0
ISRO-QKD-1,175,-73.65200592188596,1.0,0.0
ISRO-QKD-1,180,-74.62392466649388,1.0,0.0
ISRO-QKD-1,185,-71.12916042914327,1.0,0.0
ISRO-QKD-1,190,-64.28968473746438,1.0,0.0
ISRO-QKD-1,195,-55.53494605317264,1.0,0.0
ISRO-QKD-1,200,-45.760452378780684,1.0,0.0
ISRO-QKD-1,205,-35.808567358433955,1.0,0.0
ISRO-QKD-1,210,-26.769831189507375,1.0,0.0
ISRO-QKD-1,215,-18.031114633151212,1.0,0.0
ISRO-QKD-1,220,-11.67203850096418,1.0,0.0
ISRO-QKD-1,225,-15.520989530183417,1.0,0.0
ISRO-QKD-1,230,-22.196758068523724,1.0,0.0
ISRO-QKD-1,235,-29.438723066819982,1.0,0.0
ISRO-QKD-1,240,-36.76594101703729,1.0,0.0
ISRO-QKD-1,245,-44.08542463385603,1.0,0.0
ISRO-QKD-1,250,-51.41209987474997,1.0,0.0
ISRO-QKD-1,255,-58.79597890205811,1.0,0.0
ISRO-QKD-1,260,-66.29689288408423,1.0,0.0
ISRO-QKD-1,265,-73.9606403841706,1.0,0.0
ISRO-QKD-1,270,-81.69065756160276,1.0,0.0
ISRO-QKD-1,275,-86.40853665256276,1.0,0.0
ISRO-QKD-1,280,-79.3869672350983,1.0,0.0
ISRO-QKD-1,285,-69.97757675194433,1.0,0.0
ISRO-QKD-1,290,-59.73289657172702,1.0,0.0
ISRO-QKD-1,295,-48.90529982101372,1.0,0.0
ISRO-QKD-1,300,-37.978747652539795,1.0,0.0
ISRO-QKD-1,305,-28.202482322204112,1.0,0.0
ISRO-QKD-1,310,-28.722463052884333,1.0,0.0
ISRO-QKD-1,315,-8.691095263073597,1.0,0.0
ISRO-QKD-1,320,-12.322322615345367,1.0,0.0
ISRO-QKD-1,325,-19.949258782771356,1.0,0.0
ISRO-QKD-1,330,-27.845590037127135,1.0,0.0
ISRO-QKD-1,335,-35.605643649019036,1.0,0.0
ISRO-QKD-1,340,-43.19213533847373,1.0,0.0
ISRO-QKD-1,345,-50.64289812147994,1.0,0.0
ISRO-QKD-1,350,-58.004980564318515,1.0,0.0
ISRO-QKD-1,355,-65.30001985613718,1.0,0.0
ISRO-QKD-1,360,-72.44943338570238,1.0,0.0
ISRO-QKD-1,365,-78.92443657848818,1.0,0.0
ISRO-QKD-1,370,-81.91357440112611,1.0,0.0
ISRO-QKD-1,375,-77.56144899139238,1.0,0.0
ISRO-QKD-1,380,-69.58582178434965,1.0,0.0
ISRO-QKD-1,385,-60.29540060036426,1.0,0.0
ISRO-QKD-1,390,-50.31157254716778,1.0,0.0
ISRO-QKD-1,395,-40.211640848786004,1.0,0.0
ISRO-QKD-1,400,-31.055684650444338,1.0,0.0
ISRO-QKD-1,405,-23.94822750999104,1.0,0.0
ISRO-QKD-1,410,-16.759303775488274,1.0,0.0
ISRO-QKD-1,415,-17.834862039364772,1.0,0.0
ISRO-QKD-1,420,-23.602870214093024,1.0,0.0
ISRO-QKD-1,425,-30.408564016943057,1.0,0.0
ISRO-QKD-1,430,-37.318621308633986,1.0,0.0
ISRO-QKD-1,435,-44.07083584885245,1.0,0.0
ISRO-QKD-1,440,-50.5671427739926,1.0,0.0
ISRO-QKD-1,445,-56.72069284807168,1.0,0.0
ISRO-QKD-1,450,-62.364424556622076,1.0,0.0
ISRO-QKD-1,455,-67.13072270248483,1.0,0.0
ISRO-QKD-1,460,-70.28789453219224,1.0,0.0
ISRO-QKD-1,465,-70.81471205241762,1.0,0.0
ISRO-QKD-1,470,-68.22766397332266,1.0,0.0
ISRO-QKD-1,475,-63.107056971469454,1.0,0.0
ISRO-QKD-1,480,-56.34288036536061,1.0,0.0
ISRO-QKD-1,485,-48.68074470473059,1.0,0.0
ISRO-QKD-1,490,-40.923658507453176,1.0,0.0
ISRO-QKD-1,495,-34.13046154017006,1.0,0.0
ISRO-QKD-1,500,-28.96841752614332,1.0,0.0
ISRO-QKD-1,505,-26.08445361577319,1.0,0.0
ISRO-QKD-1,510,-27.372157079001642,1.0,0.0
ISRO-QKD-1,515,-31.509348989349018,1.0,0.0
ISRO-QKD-1,520,-36.6985170481245,1.0,0.0
ISRO-QKD-1,525,-42.07038941750248,1.0,0.0
ISRO-QKD-1,530,-47.23063144384473,1.0,0.0
ISRO-QKD-1,535,-51.94675990763336,1.0,0.0
ISRO-QKD-1,540,-56.008022661087566,1.0,0.0
ISRO-QKD-1,545,-59.161883228232796,1.0,0.0
ISRO-QKD-1,550,-61.10631472079886,1.0,0.0
ISRO-QKD-1,555,-61.55791045886765,1.0,0.0
ISRO-QKD-1,560,-60.38119011556788,1.0,0.0
ISRO-QKD-1,565,-57.66949792272772,1.0,0.0
ISRO-QKD-1,570,-53.702017133824924,1.0,0.0
