Satellite,Time_Minutes,Elevation,QBER,SKR
ISRO-QKD-1,0,-52.29562895004665,1.0,0.0
ISRO-QKD-1,5,-46.40949018438435,1.0,0.0
ISRO-QKD-1,10,-39.88819349597696,1.0,0.0
ISRO-QKD-1,15,-33.49461931888893,1.0,0.0
ISRO-QKD-1,20,-27.831190976609847,1.0,0.0
ISRO-QKD-1,25,-24.466276203183064,1.0,0.0
ISRO-QKD-1,30,-24.807204083925935,1.0,0.0
ISRO-QKD-1,35,-27.86092917623406,1.0,0.0
ISRO-QKD-1,40,-32.302723407407065,1.0,0.0
ISRO-QKD-1,45,-37.40360118813606,1.0,0.0
ISRO-QKD-1,50,-42.825247008900064,1.0,0.0
ISRO-QKD-1,55,-48.405611381962785,1.0,0.0
ISRO-QKD-1,60,-54.04373972749111,1.0,0.0
ISRO-QKD-1,65,-59.624237842396475,1.0,0.0
ISRO-QKD-1,70,-64.92490451326036,1.0,0.0
ISRO-QKD-1,75,-69.43854350796174,1.0,0.0
ISRO-QKD-1,80,-72.08869987670607,1.0,0.0
ISRO-QKD-1,85,-71.42410574849902,1.0,0.0
ISRO-QKD-1,90,-67.08948152354125,1.0,0.0
ISRO-QKD-1,95,-60.078459565340786,1.0,0.0
ISRO-QKD-1,100,-51.43073906801065,1.0,0.0
ISRO-QKD-1,105,-41.99202454441456,1.0,0.0
ISRO-QKD-1,110,-32.711336041699425,1.0,0.0
ISRO-QKD-1,115,-24.426886781609554,1.0,0.0
ISRO-QKD-1,120,-16.086937513993675,1.0,0.0
ISRO-QKD-1,125,-14.543748081534604,1.0,0.0
ISRO-QKD-1,130,-19.318537002492626,1.0,0.0
ISRO-QKD-1,135,-25.856582499010894,1.0,0.0
ISRO-QKD-1,140,-32.83735271740995,1.0,0.0
ISRO-QKD-1,145,-39.92058526992263,1.0,0.0
ISRO-QKD-1,150,-47.032216819878634,1.0,0.0
ISRO-QKD-1,155,-54.181249752992,1.0,0.0
ISRO-QKD-1,160,-61.40041986104761,1.0,0.0
ISRO-QKD-1,165,-68.70961142782964,1.0,0.0
ISRO-QKD-1,170,-76.02464597608602,1.0,0.0
ISRO-QKD-1,175,-82.53135695084546,1.0,0.0
ISRO-QKD-1,180,-82.69206033910845,1.0,0.0
ISRO-QKD-1,185,-75.3272210211463,1.0,0.0
ISRO-QKD-1,190,-65.98202883067984,1.0,0.0
ISRO-QKD-1,195,-55.70452583559447,1.0,0.0
ISRO-QKD-1,200,-44.89797811405363,1.0,0.0
ISRO-QKD-1,205,-34.25954141049214,1.0,0.0
ISRO-QKD-1,210,-25.827102897105224,1.0,0.0
ISRO-QKD-1,215,-48.36001488756601,1.0,0.0
ISRO-QKD-1,220,-8.835164118986388,1.0,0.0
ISRO-QKD-1,225,-15.011550737683656,1.0,0.0
ISRO-QKD-1,230,-22.81780557777602,1.0,0.0
ISRO-QKD-1,235,-30.685428928677943,1.0,0.0
ISRO-QKD-1,240,-38.40615119349464,1.0,0.0
ISRO-QKD-1,245,-45.98467194686176,1.0,0.0
ISRO-QKD-1,250,-53.474237173558244,1.0,0.0
ISRO-QKD-1,255,-60.93489157014896,1.0,0.0
ISRO-QKD-1,260,-68.40867895978153,1.0,0.0
ISRO-QKD-1,265,-75.84953095034605,1.0,0.0
ISRO-QKD-1,270,-82.6174587475206,1.0,0.0
ISRO-QKD-1,275,-83.42719826857724,1.0,0.0
ISRO-QKD-1,280,-76.27957312965586,1.0,0.0
ISRO-QKD-1,285,-67.21338617630936,1.0,0.0
ISRO-QKD-1,290,-57.30765142150155,1.0,0.0
ISRO-QKD-1,295,-46.92433223307914,1.0,0.0
ISRO-QKD-1,300,-36.700192940989574,1.0,0.0
ISRO-QKD-1,305,-28.04502476766492,1.0,0.0
ISRO-QKD-1,310,-21.483997115063655,1.0,0.0
ISRO-QKD-1,315,-14.427232893433953,1.0,0.0
ISRO-QKD-1,320,-18.167042113381243,1.0,0.0
ISRO-QKD-1,325,-24.896961274045825,1.0,0.0
ISRO-QKD-1,330,-32.11028115948123,1.0,0.0
ISRO-QKD-1,335,-39.264450715032844,1.0,0.0
ISRO-QKD-1,340,-46.22120069179415,1.0,0.0
ISRO-QKD-1,345,-52.93024942119862,1.0,0.0
ISRO-QKD-1,350,-59.32294480729592,1.0,0.0
ISRO-QKD-1,355,-65.22090345625423,1.0,0.0
ISRO-QKD-1,360,-70.16745224669226,1.0,0.0
ISRO-QKD-1,365,-73.1508218692534,1.0,0.0
ISRO-QKD-1,370,-72.80695741607404,1.0,0.0
ISRO-QKD-1,375,-68.93302823097635,1.0,0.0
ISRO-QKD-1,380,-62.64197973346539,1.0,0.0
ISRO-QKD-1,385,-54.94947849677556,1.0,0.0
ISRO-QKD-1,390,-46.58447556093528,1.0,0.0
